PLAYER,VALUE
Sam Mitchell,3.15
Nikoloz Tskitishvili,3.3
Brian Scalabrine,3.3
Steve Kerr,3.6
Quincy Douby,3.6
DeMarre Carroll,3.6
Sasha Pavlovic,3.65
Justin Reed,3.7
Tierre Brown,3.8
Jeff Teague,3.9
Roko Ukic,4.0
Royal Ivey,4.1
Jeryl Sasser,4.1
Eddie Gill,4.1
Michael Curry,4.17
Orien Greene,4.2
Darvin Ham,4.25
Stephen Graham,4.3
Sergio Rodriguez,4.45
Mark Madsen,4.55
Hanno Mottola,4.8
Kareem Rush,4.83
Slava Medvedenko,4.9
Jason Collier,4.9
Mateen Cleaves,5.0
Stacey Augmon,5.05
Rodney Carney,5.1
Michael Ruffin,5.1
Dell Curry,5.1
Mickael Gelabale,5.3
Dean Garrett,5.3
Monty Williams,5.5
Casey Jacobsen,5.53
Wayne Ellington,5.6
John Amaechi,5.6
Jason Smith,5.6
Marcus Banks,5.7
Joel Anthony,5.7
Michael Doleac,5.85
Hilton Armstrong,5.9
Sasha Vujacic,5.98
Jarron Collins,6.02
Jacque Vaughn,6.04
Quinton Ross,6.07
Arron Afflalo,6.13
Dahntay Jones,6.15
A.C. Green,6.2
Nick Young,6.23
Jason Kapono,6.27
Steve Novak,6.3
Sam Young,6.3
Lindsey Hunter,6.3
Kevin Ollie,6.3
Jelani McCoy,6.3
Jake Voskuhl,6.3
Eric Maynor,6.3
DeSagana Diop,6.36
Ron Mercer,6.4
Jerome James,6.4
Brevin Knight,6.4
Brian Shaw,6.45
Mike Batiste,6.5
Marcus Williams,6.5
Walter McCarty,6.6
Sean Rooks,6.6
Ryan Hollins,6.6
Rodney White,6.65
Kris Humphries,6.7
Junior Harrington,6.7
Nicolas Batum,6.8
DerMarr Johnson,6.8
Danny Ferry,6.8
Jordan Farmar,6.83
Luke Walton,6.85
Keyon Dooling,6.85
Tony Allen,6.9
Marcin Gortat,6.9
Milt Palacio,6.93
Thabo Sefolosha,6.95
Lou Amundson,7.0
Jonathan Bender,7.0
James Jones,7.03
Maurice Evans,7.1
Jason Collins,7.17
Bryon Russell,7.18
Melvin Ely,7.2
Jerryd Bayless,7.2
Jannero Pargo,7.2
Daniel Gibson,7.2
Daequan Cook,7.2
Devin Brown,7.25
Andrew DeClercq,7.25
Tony Massenburg,7.3
Danny Manning,7.3
Adrian Griffin,7.3
Bruce Bowen,7.39
Scott Padgett,7.4
Robert Traylor,7.4
Olden Polynice,7.4
Joey Graham,7.43
Jarvis Hayes,7.45
Eddie House,7.47
Sebastian Telfair,7.5
Robert Pack,7.5
Raul Lopez,7.5
Gerald Green,7.5
Evan Eschmeyer,7.5
Charlie Ward,7.5
Adam Morrison,7.5
Greg Buckner,7.58
Shannon Brown,7.6
Malik Allen,7.6
Keith Bogans,7.6
Corie Blount,7.6
Steven Hunter,7.65
Erick Strickland,7.7
DeAndre Jordan,7.7
Shandon Anderson,7.8
John Starks,7.8
JaVale McGee,7.8
Gary Trent,7.8
Donte Greene,7.8
Calvin Booth,7.8
Brian Cook,7.8
Willie Green,7.9
Sarunas Jasikevicius,7.9
Marquis Daniels,7.9
Johan Petro,7.95
Anthony Johnson,7.97
Walt Williams,8.0
Shawn Kemp,8.0
Jared Jeffries,8.0
Darrell Arthur,8.0
Damien Wilkins,8.0
Trenton Hassell,8.03
Moochie Norris,8.07
Alan Henderson,8.07
Juan Dixon,8.1
Jiri Welsch,8.1
Glen Davis,8.1
Roger Mason Jr.,8.13
Darius Songaila,8.14
Terry Porter,8.15
Pat Garrity,8.15
Bostjan Nachbar,8.17
Ryan Bowen,8.2
Predrag Drobnjak,8.2
Lucious Harris,8.2
Kendall Gill,8.2
Ira Newble,8.2
Chris Childs,8.2
Reggie Evans,8.22
J.J. Barea,8.25
Rasual Butler,8.26
Eric Williams,8.27
Fred Jones,8.3
DeMar DeRozan,8.3
Carlos Arroyo,8.3
Martell Webster,8.33
Ime Udoka,8.35
Devean George,8.35
Matt Carroll,8.37
Vitaly Potapenko,8.4
Shelden Williams,8.4
Shammond Williams,8.4
Kevin Willis,8.4
Goran Dragic,8.4
Austin Croshere,8.4
Zeljko Rebraca,8.5
Johnny Newman,8.5
Felipe Lopez,8.5
D.J. Augustin,8.5
CJ Miles,8.5
Charlie Bell,8.53
